T=57.963939533849675
# r  C(r)
0.500000 9.000000e+00
1.500000 9.000000e+00
2.500000 9.000000e+00
3.500000 9.000000e+00
4.500000 9.000000e+00
5.500000 9.000000e+00
6.500000 9.000000e+00
7.500000 9.000000e+00
8.500000 9.000000e+00
9.500000 9.000000e+00
10.500000 9.000000e+00
11.500000 9.000000e+00
12.500000 9.000000e+00
13.500000 9.000000e+00
14.500000 9.000000e+00
15.500000 9.000000e+00
16.500000 9.000000e+00
17.500000 9.000000e+00
18.500000 9.000000e+00
19.500000 9.000000e+00
20.500000 9.000000e+00
21.500000 9.000000e+00
22.500000 9.000000e+00
23.500000 9.000000e+00
24.500000 9.000000e+00
25.500000 9.000000e+00
26.500000 9.000000e+00
27.500000 9.000000e+00
28.500000 9.000000e+00
29.500000 9.000000e+00
30.500000 9.000000e+00
31.500000 9.000000e+00
32.500000 9.000000e+00
33.500000 9.000000e+00
34.500000 9.000000e+00
35.500000 9.000000e+00
36.500000 9.000000e+00
37.500000 9.000000e+00
38.500000 9.000000e+00
39.500000 9.000000e+00
40.500000 9.000000e+00
41.500000 9.000000e+00
42.500000 9.000000e+00
43.500000 9.000000e+00
44.500000 9.000000e+00
45.500000 9.000000e+00
46.500000 9.000000e+00
47.500000 9.000000e+00
48.500000 9.000000e+00
49.500000 9.000000e+00
50.500000 9.000000e+00
51.500000 9.000000e+00
52.500000 9.000000e+00
53.500000 9.000000e+00
54.500000 9.000000e+00
55.500000 9.000000e+00
56.500000 9.000000e+00
57.500000 9.000000e+00
58.500000 9.000000e+00
59.500000 9.000000e+00
